Title;Author;Avg Rating;Ratings
The Hunger Games (The Hunger Games, #1);Suzanne Collins;4.32;7,038,574
Harry Potter and the Order of the Phoenix (Harry Potter, #5);J.K. Rowling;4.50;2,800,280
To Kill a Mockingbird;Harper Lee;4.27;5,011,307
Pride and Prejudice;Jane Austen;4.27;3,396,111
Twilight (The Twilight Saga, #1);Stephenie Meyer;3.62;5,476,973
The Book Thief;Markus Zusak;4.38;2,065,956
Animal Farm;George Orwell;3.97;3,095,689
The Chronicles of Narnia (Chronicles of Narnia, #1-7);C.S. Lewis;4.25;573,524
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;4.60;119,371
The Fault in Our Stars;John Green;4.18;4,052,164
Gone with the Wind;Margaret Mitchell;4.30;1,134,368
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);Douglas Adams;4.22;1,585,865
The Giving Tree;Shel Silverstein;4.37;986,658
Wuthering Heights;Emily Brontë;3.87;1,486,928
The Picture of Dorian Gray;Oscar Wilde;4.10;1,119,384
The Da Vinci Code (Robert Langdon, #2);Dan Brown;3.88;2,091,638
Jane Eyre;Charlotte Brontë;4.13;1,781,592
Memoirs of a Geisha;Arthur Golden;4.13;1,819,743
Alice's Adventures in Wonderland / Through the Looking-Glass;Lewis Carroll;4.06;499,748
Les Misérables;Victor Hugo;4.18;726,351
The Perks of Being a Wallflower;Stephen Chbosky;4.21;1,414,167
Fahrenheit 451;Ray Bradbury;3.98;1,913,025
Divergent (Divergent, #1);Veronica Roth;4.17;3,266,202
Harry Potter and the Sorcerer's Stone (Harry Potter, #1);J.K. Rowling;4.47;8,003,285
The Great Gatsby;F. Scott Fitzgerald;3.93;4,204,796
The Alchemist;Paulo Coelho;3.89;2,393,279
Lord of the Flies;William Golding;3.69;2,479,431
Crime and Punishment;Fyodor Dostoevsky;4.23;712,237
Romeo and Juliet;William Shakespeare;3.75;2,228,942
The Little Prince;Antoine de Saint-Exupéry;4.31;1,609,521
City of Bones (The Mortal Instruments, #1);Cassandra Clare;4.09;1,774,348
Anne of Green Gables (Anne of Green Gables, #1);L.M. Montgomery;4.26;820,252
The Help;Kathryn Stockett;4.46;2,359,910
Ender's Game (Ender's Saga, #1);Orson Scott Card;4.30;1,227,394
The Lightning Thief (Percy Jackson and the Olympians, #1);Rick Riordan;4.27;2,293,198
Charlotte's Web;E.B. White;4.18;1,564,557
Of Mice and Men;John Steinbeck;3.88;2,124,493
The Time Traveler's Wife;Audrey Niffenegger;3.98;1,660,592
Brave New World;Aldous Huxley;3.99;1,586,224
One Hundred Years of Solitude;Gabriel García Márquez;4.09;825,153
The Catcher in the Rye;J.D. Salinger;3.81;2,989,614
The Princess Bride;William Goldman;4.25;833,815
A Thousand Splendid Suns;Khaled Hosseini;4.39;1,272,852
The Secret Garden;Frances Hodgson Burnett;4.13;994,426
A Game of Thrones (A Song of Ice and Fire, #1);George R.R. Martin;4.44;2,166,846
A Wrinkle in Time (Time Quintet, #1);Madeleine L'Engle;3.99;1,111,433
The Outsiders;S.E. Hinton;4.10;1,061,720
The Adventures of Huckleberry Finn;Mark Twain;3.82;1,199,076
The Lovely Bones;Alice Sebold;3.83;2,146,269
The Odyssey;Homer;3.78;927,813
Where the Wild Things Are;Maurice Sendak;4.22;892,028
Green Eggs and Ham;Dr. Seuss;4.29;682,054
Life of Pi;Yann Martel;3.92;1,441,475
A Tale of Two Cities;Charles Dickens;3.86;859,743
Water for Elephants;Sara Gruen;4.09;1,469,844
The Kite Runner;Khaled Hosseini;4.32;2,659,081
Lolita;Vladimir Nabokov;3.88;722,177
Frankenstein: The 1818 Text;Mary Wollstonecraft Shelley;3.83;1,288,910
The Handmaid's Tale (The Handmaid's Tale, #1);Margaret Atwood;4.12;1,655,011
Slaughterhouse-Five;Kurt Vonnegut Jr.;4.08;1,215,939
The Giver (The Giver, #1);Lois Lowry;4.13;2,004,866
Dune (Dune, #1);Frank Herbert;4.24;955,958
Little Women;Louisa May Alcott;4.11;1,849,723
Harry Potter and the Deathly Hallows (Harry Potter, #7);J.K. Rowling;4.61;3,111,274
Catch-22;Joseph Heller;3.98;766,758
The Stand;Stephen King;4.33;678,695
The Pillars of the Earth (Kingsbridge, #1);Ken Follett;4.32;694,388
The Adventures of Sherlock Holmes (Sherlock Holmes, #3);Arthur Conan Doyle;4.29;268,438
Watership Down (Watership Down, #1);Richard  Adams;4.06;455,791
Great Expectations;Charles Dickens;3.78;705,011
The Bell Jar;Sylvia Plath;4.02;678,863
Matilda;Roald Dahl;4.32;751,758
Anna Karenina;Leo Tolstoy;4.06;728,667
The Fellowship of the Ring (The Lord of the Rings, #1);J.R.R. Tolkien;4.37;2,518,774
One Flew Over the Cuckoo's Nest;Ken Kesey;4.19;674,002
Outlander (Outlander, #1);Diana Gabaldon;4.23;912,245
